³¯Â¥,PM10,PM2.5
20190227,67.0,44.0
20190228,91.0,63.0
20190301,117.0,84.0
20190302,110.0,77.0
20190303,100.0,71.0
20190304,149.0,106.0
20190305,183.0,139.0
20190306,134.0,99.0
20190307,53.0,35.0
20190308,50.0,30.0
20190309,44.0,30.0
20190310,47.0,33.0
20190311,69.0,45.0
20190312,81.0,51.0
20190313,42.0,12.0
20190314,41.0,20.0
20190315,58.0,33.0
20190316,40.0,31.0
20190317,35.0,25.0
20190318,41.0,25.0
20190319,71.0,48.0
20190320,94.0,75.0
20190321,40.0,30.0
20190322,33.0,20.0
20190323,23.0,16.0
20190324,25.0,14.0
20190325,50.0,32.0
20190326,62.0,39.0
20190327,98.0,65.0
20190328,85.0,55.0
20190329,39.0,21.0
20190330,35.0,27.0
20190331,41.0,26.0
20190401,22.0,13.0
20190402,33.0,18.0
20190403,39.0,24.0
20190404,35.0,21.0
20190405,85.0,27.0
20190406,57.0,19.0
20190407,35.0,18.0
20190408,36.0,13.0
20190409,22.0,10.0
20190410,5.0,6.0
20190411,27.0,19.0
20190412,53.0,36.0
20190413,47.0,33.0
20190414,40.0,23.0
20190415,51.0,18.0
20190416,44.0,22.0
20190417,41.0,22.0
20190418,44.0,28.0
20190419,42.0,26.0
20190420,50.0,32.0
20190421,42.0,34.0
20190422,111.0,53.0
20190423,107.0,52.0
20190424,65.0,50.0
20190425,36.0,19.0
20190426,5.0,7.0
20190427,19.0,13.0
20190428,18.0,15.0
20190429,26.0,21.0
20190430,35.0,24.0
20190501,69.0,33.0
20190502,58.0,19.0
20190503,62.0,35.0
20190504,96.0,65.0
20190505,66.0,41.0
20190506,33.0,11.0
20190507,48.0,21.0
20190508,57.0,28.0
20190509,50.0,29.0
20190510,60.0,37.0
20190511,71.0,44.0
20190512,60.0,42.0
20190513,65.0,44.0
20190514,47.0,36.0
20190515,76.0,55.0
20190516,72.0,49.0
20190517,56.0,41.0
20190518,29.0,22.0
20190519,15.0,16.0
20190520,40.0,16.0
20190521,58.0,24.0
20190522,60.0,33.0
20190523,74.0,47.0
20190524,96.0,62.0
20190525,92.0,67.0
20190526,42.0,28.0
20190527,24.0,19.0
20190528,23.0,12.0
20190529,54.0,29.0
20190530,51.0,29.0
20190531,23.0,15.0
